State,Crop,Year,Rainfall,Temperature,Area,Production
Karnataka,Bajra,2018,204,31,1859,3763
Rajasthan,Rice,2016,168,33,898,1912
Haryana,Bajra,2019,240,23,1515,3617
Bihar,Wheat,2016,92,30,1784,2119
Rajasthan,Soybean,2016,217,23,845,1909
Bihar,Soybean,2020,183,26,532,921
Karnataka,Soybean,2017,163,34,1783,4181
Haryana,Sugarcane,2018,79,35,1097,1237
Tamil Nadu,Rice,2017,138,30,1765,3325
Bihar,Bajra,2017,107,30,1138,1228
Uttar Pradesh,Soybean,2022,92,26,978,1122
Gujarat,Sugarcane,2018,76,20,918,489
Haryana,Wheat,2017,158,32,1007,2199
Madhya Pradesh,Wheat,2023,102,34,697,862
Madhya Pradesh,Bajra,2015,210,25,1806,3654
Madhya Pradesh,Sugarcane,2021,208,23,1394,3135
Karnataka,Rice,2022,216,29,1347,3586
Uttar Pradesh,Bajra,2020,241,23,721,1349
Maharashtra,Soybean,2019,184,21,765,1211
Rajasthan,Maize,2020,152,35,1284,2960
Gujarat,Rice,2017,109,25,1097,1094
Gujarat,Soybean,2020,131,33,1170,2342
Bihar,Soybean,2019,200,25,1584,3277
Uttar Pradesh,Bajra,2015,156,23,616,954
Punjab,Sugarcane,2022,163,35,1669,3914
Rajasthan,Soybean,2023,145,33,1320,2078
Rajasthan,Maize,2019,81,32,925,1099
Gujarat,Sugarcane,2019,78,22,1131,899
Maharashtra,Wheat,2015,122,29,1468,1705
Madhya Pradesh,Rice,2022,77,35,1332,1261
Bihar,Rice,2021,227,35,698,2201
Karnataka,Maize,2015,126,21,1251,1112
Gujarat,Soybean,2017,92,34,538,754
Tamil Nadu,Rice,2023,188,28,1754,3315
Bihar,Rice,2019,115,29,704,1031
Tamil Nadu,Sugarcane,2023,153,34,829,1728
Punjab,Maize,2018,97,30,1262,1548
Gujarat,Rice,2020,174,28,1450,3010
Gujarat,Bajra,2016,91,21,1011,661
Karnataka,Rice,2020,80,33,1340,1448
Bihar,Rice,2021,132,32,850,1488
Bihar,Soybean,2020,106,22,809,708
Madhya Pradesh,Maize,2016,97,31,682,965
Uttar Pradesh,Sugarcane,2020,197,33,595,1824
Karnataka,Rice,2022,101,30,1817,2279
Tamil Nadu,Bajra,2022,152,21,747,1017
Bihar,Wheat,2015,140,35,1098,2071
Punjab,Maize,2022,187,24,1334,2353
Rajasthan,Wheat,2023,148,25,797,1080
Bihar,Bajra,2017,242,24,1790,3767
Tamil Nadu,Sugarcane,2018,246,34,1411,4265
Karnataka,Wheat,2017,170,32,1880,4691
Gujarat,Sugarcane,2022,166,34,1510,2745
Karnataka,Sugarcane,2018,245,26,950,2412
Gujarat,Bajra,2023,133,31,634,1026
Karnataka,Soybean,2019,129,34,883,1795
Madhya Pradesh,Bajra,2023,237,24,1901,4700
Bihar,Sugarcane,2018,162,20,787,1052
Gujarat,Bajra,2015,142,24,1459,2385
Rajasthan,Sugarcane,2023,155,22,1462,2175
Karnataka,Bajra,2016,141,33,1606,2587
Uttar Pradesh,Sugarcane,2022,207,20,1974,3751
Madhya Pradesh,Rice,2022,211,31,942,2014
Punjab,Sugarcane,2015,79,23,1726,1493
Rajasthan,Soybean,2023,182,35,1629,4555
Karnataka,Wheat,2021,169,27,1687,2850
Karnataka,Sugarcane,2023,84,28,1463,1417
Punjab,Bajra,2019,170,28,541,1203
Gujarat,Wheat,2020,212,24,1324,2269
Madhya Pradesh,Soybean,2021,133,20,1887,1876
Haryana,Rice,2020,129,24,1670,2153
Maharashtra,Soybean,2017,229,22,1191,2770
Madhya Pradesh,Soybean,2021,250,20,1789,3033
Punjab,Rice,2018,96,23,931,749
Tamil Nadu,Rice,2015,101,25,1203,1106
Rajasthan,Wheat,2017,123,25,1551,1688
Madhya Pradesh,Sugarcane,2017,107,35,535,919
Gujarat,Bajra,2018,240,30,1927,4848
Maharashtra,Sugarcane,2023,130,23,1091,1532
Tamil Nadu,Rice,2022,214,29,1486,3707
Gujarat,Rice,2017,194,22,1484,2130
Madhya Pradesh,Sugarcane,2021,245,30,1077,3744
Karnataka,Soybean,2019,210,27,859,2025
Punjab,Rice,2020,204,35,1899,4387
Tamil Nadu,Soybean,2015,143,27,588,768
Punjab,Rice,2021,167,32,1787,3923
Gujarat,Wheat,2017,189,34,1830,5080
Gujarat,Maize,2022,208,27,709,1500
Maharashtra,Sugarcane,2021,97,21,1507,1409
Punjab,Wheat,2020,138,33,1789,3114
Karnataka,Soybean,2021,193,30,1233,2427
Gujarat,Soybean,2023,73,28,828,774
Maharashtra,Rice,2015,114,20,1102,1174
Gujarat,Wheat,2017,249,20,832,1537
Karnataka,Rice,2023,123,25,961,1184
Rajasthan,Wheat,2015,86,26,707,651
Bihar,Soybean,2019,133,23,984,1037
Karnataka,Sugarcane,2015,108,24,1064,953
Haryana,Rice,2020,98,22,1664,1575
Punjab,Bajra,2023,210,26,1984,4344
Rajasthan,Soybean,2018,244,20,1742,3942
Bihar,Sugarcane,2023,147,32,1081,2058
Punjab,Soybean,2016,239,30,965,2270
Haryana,Bajra,2023,170,32,1692,3904
Karnataka,Wheat,2018,78,22,523,366
Karnataka,Soybean,2015,236,20,688,1533
Tamil Nadu,Soybean,2018,117,23,1308,1528
Madhya Pradesh,Bajra,2022,114,30,1899,2217
Uttar Pradesh,Maize,2023,96,21,630,491
Tamil Nadu,Rice,2017,131,35,1900,3094
Karnataka,Maize,2020,97,22,1718,1526
Madhya Pradesh,Soybean,2021,171,28,1645,2805
Punjab,Rice,2021,115,31,1165,1582
Gujarat,Bajra,2019,224,27,564,1154
Haryana,Rice,2022,106,26,878,931
Karnataka,Bajra,2023,170,28,1398,3143
Tamil Nadu,Wheat,2022,133,28,1591,1936
Bihar,Maize,2018,115,32,840,1044
Bihar,Maize,2021,240,22,1669,4149
Bihar,Maize,2017,126,32,1595,2623
Uttar Pradesh,Sugarcane,2020,234,33,914,2424
Rajasthan,Sugarcane,2019,84,22,1699,1295
Gujarat,Bajra,2021,173,22,1156,1472
Madhya Pradesh,Rice,2021,134,32,1896,3537
Rajasthan,Rice,2022,170,30,1710,3933
Tamil Nadu,Rice,2017,119,33,1303,1993
Madhya Pradesh,Rice,2017,138,33,1865,3427
Uttar Pradesh,Sugarcane,2022,172,34,1212,2661
Punjab,Bajra,2016,213,28,1775,4154
Karnataka,Soybean,2017,113,24,1901,2112
Haryana,Soybean,2017,178,32,1226,2965
Haryana,Maize,2019,100,32,1507,1730
Uttar Pradesh,Wheat,2020,203,30,1420,3056
Tamil Nadu,Maize,2020,233,29,1434,3694
Tamil Nadu,Sugarcane,2017,169,20,1848,2245
Karnataka,Soybean,2022,156,23,513,747
Gujarat,Rice,2017,166,25,1578,3062
Maharashtra,Bajra,2017,181,27,781,1821
Punjab,Sugarcane,2022,83,22,662,555
Gujarat,Bajra,2021,166,29,510,916
Gujarat,Wheat,2021,155,32,1375,3027
Punjab,Wheat,2023,144,20,734,1006
Rajasthan,Sugarcane,2015,71,22,1548,1001
Gujarat,Sugarcane,2020,78,28,714,632
Gujarat,Rice,2018,99,33,1090,1382
Tamil Nadu,Rice,2015,245,34,1684,6129
Gujarat,Rice,2022,225,34,1981,6167
Rajasthan,Soybean,2015,139,25,815,1110
Karnataka,Bajra,2016,153,22,1589,2355
Punjab,Sugarcane,2017,178,29,914,1555
Madhya Pradesh,Sugarcane,2015,140,27,1973,2977
Karnataka,Soybean,2020,186,29,1813,3360
Madhya Pradesh,Sugarcane,2015,99,27,1151,1350
Haryana,Bajra,2020,89,33,1322,1861
Tamil Nadu,Soybean,2023,193,24,743,1569
Bihar,Bajra,2019,121,27,1006,1557
Tamil Nadu,Maize,2020,173,22,684,1205
Madhya Pradesh,Maize,2018,241,20,778,1522
Maharashtra,Rice,2019,163,35,967,2125
Gujarat,Sugarcane,2020,171,21,1443,2112
Uttar Pradesh,Soybean,2016,246,31,970,3128
Punjab,Maize,2019,204,31,1606,4794
Punjab,Wheat,2022,85,29,552,466
Tamil Nadu,Wheat,2023,157,32,1986,4245
Gujarat,Wheat,2017,114,21,1880,1837
Uttar Pradesh,Wheat,2022,146,31,1632,2507
Karnataka,Maize,2021,244,32,1204,3355
Uttar Pradesh,Wheat,2021,138,21,862,1069
Gujarat,Sugarcane,2021,191,20,977,1785
Madhya Pradesh,Maize,2023,165,22,1368,1754
Maharashtra,Maize,2020,171,33,648,1252
Gujarat,Soybean,2018,106,35,1518,1814
Maharashtra,Soybean,2023,224,32,609,1503
Uttar Pradesh,Sugarcane,2020,121,28,760,994
Punjab,Soybean,2022,177,25,975,1552
Tamil Nadu,Rice,2017,128,27,1518,1926
Tamil Nadu,Maize,2017,193,21,941,1536
Tamil Nadu,Sugarcane,2015,248,23,1804,3612
Gujarat,Bajra,2018,70,34,885,936
Maharashtra,Soybean,2016,190,20,1182,2112
Bihar,Soybean,2023,82,20,540,368
Punjab,Rice,2023,212,28,1703,4503
Madhya Pradesh,Wheat,2018,102,32,1932,2690
Haryana,Wheat,2015,211,20,1194,2348
Gujarat,Soybean,2020,110,35,694,874
Madhya Pradesh,Wheat,2022,237,34,806,2261
Madhya Pradesh,Bajra,2022,198,21,512,965
Bihar,Wheat,2019,181,35,810,2180
Rajasthan,Wheat,2017,192,34,1237,2777
Karnataka,Rice,2017,111,20,1031,849
Maharashtra,Rice,2022,236,22,551,937
Uttar Pradesh,Soybean,2020,78,33,1335,1350
Rajasthan,Sugarcane,2022,215,31,1891,6019
Maharashtra,Maize,2022,144,29,587,1141
Gujarat,Sugarcane,2020,166,21,1560,2160
Punjab,Soybean,2020,210,23,1347,2425
Haryana,Sugarcane,2020,175,21,1955,3020
Tamil Nadu,Bajra,2023,75,22,1413,987
Uttar Pradesh,Soybean,2018,88,25,1867,1955
Bihar,Wheat,2022,136,25,846,1168
Uttar Pradesh,Sugarcane,2017,215,23,1738,3530
Gujarat,Rice,2023,116,28,807,876
Karnataka,Soybean,2016,71,25,807,531
Haryana,Soybean,2020,190,33,1843,3821
Haryana,Wheat,2017,85,32,1558,1413
Haryana,Bajra,2022,161,26,1227,2029
Tamil Nadu,Wheat,2021,201,23,1122,2260
Rajasthan,Maize,2019,128,29,684,1079
Uttar Pradesh,Maize,2020,206,30,864,1793
Uttar Pradesh,Soybean,2023,126,27,723,1139
Bihar,Bajra,2022,235,35,637,2166
Maharashtra,Sugarcane,2023,224,34,1136,4117
Tamil Nadu,Bajra,2016,126,21,894,1128
Haryana,Sugarcane,2021,219,35,521,1288
Bihar,Rice,2020,88,20,1177,837
Punjab,Wheat,2022,121,22,696,685
Maharashtra,Sugarcane,2019,129,21,1813,1980
Gujarat,Soybean,2017,119,20,1195,1291
Punjab,Soybean,2021,98,24,1791,1678
Karnataka,Sugarcane,2020,206,31,1964,4495
Madhya Pradesh,Maize,2016,188,33,1183,3514
Rajasthan,Bajra,2023,118,29,1967,2600
Maharashtra,Bajra,2022,236,31,1581,4542
Gujarat,Bajra,2021,179,30,1750,3518
Haryana,Rice,2017,131,28,1673,2463
Tamil Nadu,Bajra,2016,247,32,1515,4516
Rajasthan,Wheat,2017,168,28,1268,2658
Karnataka,Rice,2020,192,24,1581,2348
Haryana,Soybean,2021,123,30,1009,1711
Uttar Pradesh,Bajra,2015,74,25,718,476
Maharashtra,Maize,2019,188,32,857,2309
Gujarat,Sugarcane,2018,193,22,1170,2019
Madhya Pradesh,Sugarcane,2023,119,21,874,947
Uttar Pradesh,Rice,2022,119,21,2000,1960
Karnataka,Rice,2019,184,20,1851,2371
Bihar,Bajra,2020,140,24,1426,2064
Gujarat,Maize,2023,107,33,728,1200
Uttar Pradesh,Bajra,2021,229,32,1841,6450
Bihar,Rice,2023,84,24,758,629
Karnataka,Wheat,2015,179,27,1631,3020
Maharashtra,Soybean,2023,128,30,542,885
Haryana,Wheat,2019,128,32,1592,2855
Bihar,Wheat,2019,199,24,1101,2076
Uttar Pradesh,Soybean,2022,166,35,570,1481
Gujarat,Bajra,2015,207,28,514,1403
Haryana,Sugarcane,2017,250,34,1904,6611
Gujarat,Bajra,2023,144,20,809,1048
Tamil Nadu,Maize,2017,122,29,816,1089
Tamil Nadu,Sugarcane,2021,179,30,709,1545
Maharashtra,Wheat,2023,200,22,1205,1747
Rajasthan,Soybean,2016,77,21,761,451
Rajasthan,Sugarcane,2019,187,32,1750,3748
Punjab,Rice,2016,122,27,1010,1515
Madhya Pradesh,Rice,2016,145,30,684,1246
Bihar,Wheat,2015,250,33,1139,3117
Tamil Nadu,Bajra,2019,181,29,1911,3339
Tamil Nadu,Soybean,2018,169,29,1767,3816
Maharashtra,Rice,2018,157,25,970,1248
Bihar,Sugarcane,2021,226,27,1136,3256
Haryana,Bajra,2019,240,25,1495,3048
Karnataka,Maize,2021,134,21,629,816
Karnataka,Rice,2015,214,28,827,1619
Maharashtra,Wheat,2018,224,26,1063,1982
Madhya Pradesh,Sugarcane,2018,111,28,534,662
Uttar Pradesh,Wheat,2016,94,35,1050,1262
Rajasthan,Bajra,2023,131,28,1847,2266
Madhya Pradesh,Maize,2021,166,26,1739,2668
Karnataka,Sugarcane,2018,196,33,1677,3771
Gujarat,Bajra,2018,203,28,1654,3459
Punjab,Soybean,2015,77,31,1260,1230
Haryana,Rice,2020,157,21,657,734
Haryana,Rice,2021,103,23,1432,1445
Tamil Nadu,Soybean,2017,122,27,1877,2695
Bihar,Wheat,2023,129,32,1028,1643
Rajasthan,Bajra,2022,153,33,1422,3192
Bihar,Maize,2021,119,32,875,1194
Karnataka,Maize,2015,187,21,1766,3075
Punjab,Wheat,2022,156,35,1617,3995
Maharashtra,Wheat,2021,119,26,603,689
Rajasthan,Sugarcane,2021,201,31,1148,2678
Gujarat,Bajra,2019,185,34,759,1593
Maharashtra,Bajra,2020,226,30,1092,2617
Punjab,Rice,2021,121,35,828,1268
Gujarat,Sugarcane,2022,103,25,1028,996
Madhya Pradesh,Bajra,2016,229,28,1920,5264
Madhya Pradesh,Soybean,2018,77,20,1602,801
Maharashtra,Soybean,2017,230,21,984,1816
Haryana,Sugarcane,2016,154,24,879,1320
Karnataka,Bajra,2022,193,20,1724,3067
Karnataka,Wheat,2017,78,20,989,612
Tamil Nadu,Sugarcane,2021,226,26,830,2171
Madhya Pradesh,Wheat,2015,131,32,951,1521
Gujarat,Rice,2020,91,24,1758,1811
Gujarat,Maize,2017,247,34,1142,4340
Karnataka,Maize,2018,127,34,1520,2413
Haryana,Sugarcane,2023,201,21,1738,2901
Gujarat,Soybean,2020,216,32,1244,3306
Tamil Nadu,Bajra,2019,134,30,1233,2187
Karnataka,Maize,2017,233,32,1646,5757
Punjab,Bajra,2019,203,30,757,1545
Karnataka,Maize,2022,76,24,1437,1110
Madhya Pradesh,Soybean,2020,189,34,1217,2909
Maharashtra,Wheat,2022,85,34,1481,1500
Punjab,Sugarcane,2020,142,25,1039,1647
Gujarat,Sugarcane,2017,180,23,686,1250
Punjab,Soybean,2021,87,28,1347,1451
Bihar,Sugarcane,2021,164,20,533,632
Bihar,Wheat,2015,190,28,849,1697
Punjab,Bajra,2019,86,34,1143,1430
Haryana,Maize,2022,178,30,1313,3279
Maharashtra,Rice,2021,218,34,1923,6193
Punjab,Bajra,2015,162,20,1518,1595
Uttar Pradesh,Soybean,2020,205,20,878,1276
Rajasthan,Wheat,2021,186,21,1571,2500
Haryana,Wheat,2022,167,24,1447,2287
Punjab,Sugarcane,2020,151,23,998,1422
Rajasthan,Rice,2018,200,22,1555,2946
Tamil Nadu,Sugarcane,2020,114,22,1357,1174
Bihar,Bajra,2022,115,29,974,1482
Uttar Pradesh,Wheat,2021,100,32,1996,2559
Bihar,Sugarcane,2015,143,30,1328,2726
Gujarat,Rice,2018,237,31,1461,3599
Uttar Pradesh,Soybean,2016,164,28,1304,2036
Uttar Pradesh,Maize,2018,222,22,775,1557
Madhya Pradesh,Maize,2019,70,25,1987,1436
Rajasthan,Wheat,2023,104,21,1501,1343
Rajasthan,Rice,2019,190,27,856,2099
Punjab,Sugarcane,2015,167,29,878,1632
Tamil Nadu,Sugarcane,2022,127,35,825,1366
Bihar,Bajra,2017,218,26,664,1524
Haryana,Sugarcane,2023,223,32,1803,4124
Uttar Pradesh,Soybean,2020,72,25,1608,1177
Gujarat,Rice,2022,193,27,1380,2331
Maharashtra,Wheat,2020,82,28,1443,1325
Bihar,Wheat,2018,121,34,1408,2136
Madhya Pradesh,Bajra,2021,135,23,931,1191
Gujarat,Maize,2017,84,25,1848,1447
Rajasthan,Maize,2015,118,26,1891,2759
Haryana,Soybean,2021,92,29,1941,2117
Madhya Pradesh,Sugarcane,2023,204,34,1029,2780
Madhya Pradesh,Wheat,2015,96,21,1956,1437
Rajasthan,Rice,2016,107,23,1697,1643
Karnataka,Sugarcane,2021,173,31,1558,3404
Gujarat,Bajra,2021,99,30,1831,2582
Uttar Pradesh,Maize,2018,95,30,1025,1367
Punjab,Sugarcane,2015,238,20,1651,3746
Karnataka,Bajra,2023,249,26,511,1574
Punjab,Soybean,2021,79,22,1048,695
Haryana,Soybean,2022,96,27,955,937
Madhya Pradesh,Rice,2015,151,22,1786,2844
Gujarat,Maize,2020,213,25,1227,2571
Karnataka,Wheat,2019,165,28,988,2072
Uttar Pradesh,Wheat,2021,215,25,1326,2372
Punjab,Wheat,2015,196,21,1210,2003
Punjab,Wheat,2019,224,25,1854,4041
Rajasthan,Sugarcane,2019,118,34,1159,1859
Karnataka,Sugarcane,2021,160,31,689,1324
Rajasthan,Wheat,2017,163,23,594,715
Gujarat,Maize,2022,168,30,712,1695
Rajasthan,Bajra,2019,156,28,842,1407
Gujarat,Rice,2016,155,25,665,1116
Uttar Pradesh,Maize,2021,244,34,691,2287
Maharashtra,Sugarcane,2017,245,25,1746,4611
Rajasthan,Maize,2021,75,20,611,371
Madhya Pradesh,Bajra,2018,112,33,1006,1473
Uttar Pradesh,Sugarcane,2016,119,20,1841,1671
Maharashtra,Soybean,2020,223,31,1347,4047
Madhya Pradesh,Sugarcane,2018,163,35,1263,2947
Karnataka,Bajra,2015,240,29,809,2454
Bihar,Wheat,2018,134,30,1478,1902
Punjab,Wheat,2017,88,22,1276,925
Gujarat,Soybean,2017,248,34,992,3074
Madhya Pradesh,Bajra,2019,240,28,1131,3192
Gujarat,Maize,2023,70,32,1748,1803
Madhya Pradesh,Rice,2022,135,29,688,1126
Madhya Pradesh,Wheat,2018,199,26,1114,2169
Uttar Pradesh,Rice,2020,71,32,1542,1570
Madhya Pradesh,Wheat,2015,241,35,825,2324
Bihar,Bajra,2016,89,23,962,930
Punjab,Soybean,2018,119,22,682,773
Gujarat,Maize,2022,111,34,916,1173
Tamil Nadu,Wheat,2023,158,32,1412,3322
Haryana,Rice,2023,87,27,606,672
Madhya Pradesh,Maize,2020,176,25,1596,2251
Uttar Pradesh,Sugarcane,2022,140,35,1743,3540
Rajasthan,Rice,2022,73,29,1982,1887
Uttar Pradesh,Sugarcane,2020,177,31,1734,4535
Gujarat,Rice,2015,219,31,929,2702
Bihar,Soybean,2020,188,25,528,1127
Madhya Pradesh,Sugarcane,2018,208,31,781,2066
Uttar Pradesh,Soybean,2015,203,23,1468,2639
Maharashtra,Soybean,2022,158,35,687,1414
Bihar,Wheat,2017,173,22,813,1072
Karnataka,Bajra,2023,120,31,1026,1553
Gujarat,Maize,2023,172,22,771,1292
Uttar Pradesh,Bajra,2021,161,31,564,1030
Karnataka,Wheat,2023,126,27,1069,1702
Bihar,Wheat,2023,236,21,1067,2312
Maharashtra,Wheat,2016,74,23,616,450
Tamil Nadu,Bajra,2023,193,21,1059,1389
Haryana,Soybean,2016,232,32,942,3190
Madhya Pradesh,Maize,2022,138,28,1194,1502
Gujarat,Wheat,2018,109,32,1121,1698
Punjab,Bajra,2021,182,21,1640,2018
Haryana,Wheat,2018,228,24,720,1836
Maharashtra,Soybean,2023,129,26,1983,2218
Karnataka,Wheat,2016,191,31,1918,5172
Tamil Nadu,Sugarcane,2015,216,34,1718,5594
Punjab,Maize,2018,74,31,1066,1067
Rajasthan,Sugarcane,2020,118,32,667,1108
Haryana,Sugarcane,2016,163,24,1705,2162
Madhya Pradesh,Sugarcane,2017,146,20,1098,1366
Uttar Pradesh,Soybean,2021,170,26,1601,2822
Maharashtra,Bajra,2023,213,30,1822,4046
Rajasthan,Sugarcane,2022,250,20,1364,2333
Uttar Pradesh,Maize,2021,153,29,828,1746
Maharashtra,Sugarcane,2021,211,28,1367,2819
Punjab,Soybean,2019,176,31,664,1417
Karnataka,Bajra,2018,226,26,1729,4357
Bihar,Rice,2017,105,32,1356,2073
Gujarat,Bajra,2023,195,25,697,1317
Rajasthan,Wheat,2019,120,28,942,1497
Bihar,Wheat,2020,230,32,766,2032
Karnataka,Bajra,2015,178,26,805,1688
Bihar,Soybean,2018,85,26,1522,1340
Tamil Nadu,Soybean,2023,164,25,1108,1727
Uttar Pradesh,Wheat,2016,246,25,668,1818
Gujarat,Rice,2022,97,27,1801,2035
Bihar,Rice,2017,130,24,1590,1823
Uttar Pradesh,Wheat,2017,103,30,1547,2251
Gujarat,Soybean,2018,120,33,1751,2979
Madhya Pradesh,Wheat,2017,210,21,1738,2658
Bihar,Rice,2019,180,22,1363,2241
Karnataka,Bajra,2021,80,24,1689,1442
Karnataka,Sugarcane,2023,222,32,1837,6178
Maharashtra,Sugarcane,2022,91,29,569,562
Uttar Pradesh,Maize,2022,166,23,1914,2412
Bihar,Wheat,2015,171,24,603,1037
Bihar,Wheat,2020,105,33,615,977
Tamil Nadu,Sugarcane,2015,93,22,1397,936
Rajasthan,Soybean,2020,243,22,1939,3909
Gujarat,Sugarcane,2021,126,32,1437,1921
Karnataka,Sugarcane,2023,77,29,820,638
Madhya Pradesh,Bajra,2019,181,20,1283,1512
Maharashtra,Wheat,2019,231,32,1550,5106
Uttar Pradesh,Sugarcane,2021,144,33,1383,2213
Bihar,Soybean,2018,222,27,1020,2557
Uttar Pradesh,Maize,2019,78,31,1814,1431
Uttar Pradesh,Sugarcane,2022,241,31,551,1851
Gujarat,Bajra,2020,242,34,1098,3266
Maharashtra,Soybean,2020,213,34,1154,2704
Haryana,Rice,2017,100,35,669,1002
Tamil Nadu,Sugarcane,2020,127,29,754,1037
Haryana,Soybean,2019,192,24,689,1096
Maharashtra,Maize,2023,122,33,1970,3716
Karnataka,Wheat,2020,157,33,656,1390
Uttar Pradesh,Wheat,2015,167,34,1102,2070
Karnataka,Sugarcane,2019,123,33,1241,1831
Tamil Nadu,Bajra,2020,170,25,1692,3119
Maharashtra,Soybean,2021,149,32,1663,3512
Karnataka,Bajra,2020,128,29,820,1089
Punjab,Sugarcane,2017,226,27,983,2393
Madhya Pradesh,Soybean,2023,181,34,627,1239
Punjab,Rice,2016,90,33,1807,2419
Uttar Pradesh,Rice,2019,223,30,1744,5041
Rajasthan,Sugarcane,2017,157,29,1354,2610
Gujarat,Bajra,2020,230,21,1787,2927
Bihar,Rice,2016,128,20,1061,930
Gujarat,Sugarcane,2021,227,20,1956,3596
Tamil Nadu,Sugarcane,2015,92,28,1367,1419
Maharashtra,Rice,2018,100,20,1931,1637
Uttar Pradesh,Sugarcane,2022,177,31,1159,2500
Bihar,Maize,2019,244,29,604,1391
Gujarat,Rice,2017,78,29,1392,1191
Gujarat,Maize,2020,162,21,1602,2455
Punjab,Sugarcane,2018,147,34,592,1046
Bihar,Soybean,2019,250,22,874,1840
Bihar,Soybean,2018,85,24,813,717
Madhya Pradesh,Bajra,2018,213,29,910,1901
Maharashtra,Wheat,2021,210,25,1815,4137
Karnataka,Maize,2021,232,34,1859,5212
Tamil Nadu,Wheat,2016,131,33,1909,3874
Bihar,Wheat,2020,184,33,1369,3722
Punjab,Bajra,2023,206,33,1454,3191
Rajasthan,Wheat,2020,200,27,1944,3537
Gujarat,Soybean,2019,244,35,729,2249
Karnataka,Rice,2018,100,23,1710,1758
Rajasthan,Maize,2016,89,35,1957,2822
Uttar Pradesh,Soybean,2018,131,34,645,1044
Maharashtra,Wheat,2018,215,30,1749,4971
Gujarat,Maize,2021,166,26,1678,3467
Bihar,Bajra,2016,249,26,1109,2446
Punjab,Maize,2015,95,32,1536,2108
Haryana,Bajra,2020,230,29,1160,2617
Gujarat,Rice,2019,107,32,1526,2287
